Update 0: {'0': 0, '1': 0, '2': 0}
Update 198: {'0': -6.6783691107852015, '1': -9.186761501684119, '2': -11.093699211493892}
Update 199: {'0': -6.678485372090458, '1': -9.186877762989376, '2': -11.093815472799148}
Update 200: {'0': -6.678596982943505, '1': -9.186989373842422, '2': -11.093927083652195}
Update 201: {'0': -6.67870412936243, '1': -9.187096520261347, '2': -11.09403423007112}
Update 202: {'0': -6.678806989924597, '1': -9.187199380823515, '2': -11.09413709063329}
Update 203: {'0': -6.678905736064278, '1': -9.187298126963197, '2': -11.09423583677297}
Update 204: {'0': -6.679000532358373, '1': -9.187392923257292, '2': -11.094330633067063}
Update 205: {'0': -6.679091536800703, '1': -9.18748392769962, '2': -11.094421637509393}
Update 206: {'0': -6.67917890106534, '1': -9.187571291964257, '2': -11.09450900177403}
Update 207: {'0': -6.67926277075939, '1': -9.18765516165831, '2': -11.094592871468082}
Update 208: {'0': -6.679343285665681, '1': -9.1877356765646, '2': -11.094673386374371}
Update 209: {'0': -6.679420579975719, '1': -9.187812970874637, '2': -11.09475068068441}
Update 210: {'0': -6.6794947825133555, '1': -9.187887173412275, '2': -11.094824883222046}
Update 211: {'0': -6.679566016949487, '1': -9.187958407848406, '2': -11.094896117658177}
Update 212: {'0': -6.679634402008173, '1': -9.18802679290709, '2': -11.094964502716863}
Update 213: {'0': -6.6797000516645095, '1': -9.188092442563427, '2': -11.095030152373202}
Update 214: {'0': -6.679763075334593, '1': -9.188155466233512, '2': -11.095093176043285}
Update 215: {'0': -6.679823578057876, '1': -9.188215968956793, '2': -11.095153678766566}
Update 216: {'0': -6.679881660672226, '1': -9.188274051571144, '2': -11.095211761380916}
Update 217: {'0': -6.679937419982002, '1': -9.18832981088092, '2': -11.095267520690694}
Update 218: {'0': -6.679990948919386, '1': -9.188383339818305, '2': -11.095321049628078}
Update 219: {'0': -6.680042336699277, '1': -9.188434727598194, '2': -11.095372437407967}
Update 220: {'0': -6.680091668967971, '1': -9.188484059866887, '2': -11.095421769676662}
Update 221: {'0': -6.680139027945916, '1': -9.188531418844835, '2': -11.095469128654608}
Update 222: {'0': -6.680184492564745, '1': -9.188576883463664, '2': -11.095514593273435}
Update 223: {'0': -6.680228138598821, '1': -9.188620529497738, '2': -11.095558239307511}
Update 224: {'0': -6.680270038791532, '1': -9.188662429690451, '2': -11.095600139500224}
Update 225: {'0': -6.680310262976537, '1': -9.188702653875456, '2': -11.095640363685227}
Update 226: {'0': -6.680348878194142, '1': -9.18874126909306, '2': -11.095678978902832}
Update 227: {'0': -6.680385948803041, '1': -9.18877833970196, '2': -11.095716049511733}
